_id,ngay,giai,so,basocuoi,haisocuoi,chanle,createdAt,updatedAt,__v,date_obj
69189ab2deab5375d296c52a,22/07/2022,G3e,33274,274,74,CLC,2025-11-15 15:22:26.789,2025-11-15 15:22:26.789,0,2022-07-22
69189ab2deab5375d296c512,22/07/2022,ĐB,04093,093,93,CLL,2025-11-15 15:22:26.210,2025-11-15 15:22:26.210,0,2022-07-22
69189ab2deab5375d296c515,22/07/2022,G1,51457,457,57,CLL,2025-11-15 15:22:26.282,2025-11-15 15:22:26.282,0,2022-07-22
69189ab2deab5375d296c518,22/07/2022,G2a,29485,485,85,CCL,2025-11-15 15:22:26.354,2025-11-15 15:22:26.354,0,2022-07-22
69189ab2deab5375d296c51b,22/07/2022,G2b,11161,161,61,LCL,2025-11-15 15:22:26.426,2025-11-15 15:22:26.426,0,2022-07-22
69189ab2deab5375d296c51e,22/07/2022,G3a,79626,626,26,CCC,2025-11-15 15:22:26.497,2025-11-15 15:22:26.497,0,2022-07-22
69189ab2deab5375d296c521,22/07/2022,G3b,58052,052,52,CLC,2025-11-15 15:22:26.568,2025-11-15 15:22:26.568,0,2022-07-22
69189ab2deab5375d296c524,22/07/2022,G3c,46399,399,99,LLL,2025-11-15 15:22:26.640,2025-11-15 15:22:26.640,0,2022-07-22
69189ab2deab5375d296c527,22/07/2022,G3d,46795,795,95,LLL,2025-11-15 15:22:26.718,2025-11-15 15:22:26.718,0,2022-07-22
69189ab2deab5375d296c52d,22/07/2022,G3f,08210,210,10,CLC,2025-11-15 15:22:26.861,2025-11-15 15:22:26.861,0,2022-07-22
69189ab2deab5375d296c530,22/07/2022,G4a,2990,990,90,LLC,2025-11-15 15:22:26.932,2025-11-15 15:22:26.932,0,2022-07-22
69189ab3deab5375d296c533,22/07/2022,G4b,7622,622,22,CCC,2025-11-15 15:22:27.003,2025-11-15 15:22:27.003,0,2022-07-22
69189ab3deab5375d296c539,22/07/2022,G4d,0513,513,13,LLL,2025-11-15 15:22:27.148,2025-11-15 15:22:27.148,0,2022-07-22
69189ab3deab5375d296c536,22/07/2022,G4c,1306,306,06,LCC,2025-11-15 15:22:27.077,2025-11-15 15:22:27.077,0,2022-07-22
69189ab3deab5375d296c53f,22/07/2022,G5b,0986,986,86,LCC,2025-11-15 15:22:27.300,2025-11-15 15:22:27.300,0,2022-07-22
69189ab4deab5375d296c560,22/07/2022,G7d,00,00,00,,2025-11-15 15:22:28.112,2025-11-15 15:22:28.112,0,2022-07-22
69189ab4deab5375d296c55d,22/07/2022,G7c,84,84,84,,2025-11-15 15:22:28.041,2025-11-15 15:22:28.041,0,2022-07-22
69189ab3deab5375d296c55a,22/07/2022,G7b,32,32,32,,2025-11-15 15:22:27.970,2025-11-15 15:22:27.970,0,2022-07-22
69189ab3deab5375d296c557,22/07/2022,G7a,14,14,14,,2025-11-15 15:22:27.900,2025-11-15 15:22:27.900,0,2022-07-22
69189ab3deab5375d296c554,22/07/2022,G6c,140,140,40,LCC,2025-11-15 15:22:27.828,2025-11-15 15:22:27.828,0,2022-07-22
69189ab3deab5375d296c53c,22/07/2022,G5a,4595,595,95,LLL,2025-11-15 15:22:27.224,2025-11-15 15:22:27.224,0,2022-07-22
69189ab3deab5375d296c551,22/07/2022,G6b,697,697,97,CLL,2025-11-15 15:22:27.757,2025-11-15 15:22:27.757,0,2022-07-22
